Geneid,HBR_1.bam,HBR_2.bam,HBR_3.bam,UHR_1.bam,UHR_2.bam,UHR_3.bam
U2,0,0,0,0,0,0
CU459211.1,0,0,0,0,0,0
CU104787.1,0,0,0,0,0,0
BAGE5,0,0,0,0,0,0
ACTR3BP6,0,0,0,0,0,0
5_8S_rRNA,0,0,0,0,0,0
AC137488.1,0,0,0,0,0,0
AC137488.2,0,0,0,0,0,0
CU013544.1,0,0,0,0,0,0
CT867976.1,0,0,0,0,0,0
CT867977.1,0,0,0,0,0,0
CT978678.1,0,0,0,0,0,0
CU459202.1,0,0,0,0,0,0
AC116618.1,0,0,0,0,0,0
CU463998.1,0,0,0,0,0,0
CU463998.3,0,0,0,0,0,0
CU463998.2,0,0,0,0,0,0
U6,0,0,0,0,0,0
LA16c-60D12.1,0,0,0,3,2,0
LA16c-13E4.3,0,0,0,0,0,1
LA16c-60D12.2,0,0,0,0,4,1
ZNF72P,0,0,0,0,1,0
BNIP3P2,0,0,0,0,2,0
YME1L1P1,0,0,0,0,0,0
OR11H1,0,0,0,0,0,0
LA16c-60G3.6,0,0,0,0,3,0
ARHGAP42P3,0,0,0,0,2,0
LA16c-23H5.4,0,0,0,0,1,0
LA16c-60G3.8,0,0,0,0,2,0
LA16c-60G3.7,0,0,0,0,0,0
LA16c-60G3.5,0,0,0,0,0,0
LA16c-2F2.8,0,0,0,0,3,0
NEK2P2,0,0,0,0,1,1
LA16c-2F2.5,0,0,0,0,0,0
NF1P6,0,0,0,1,4,0
MED15P7,0,0,0,0,2,0
POTEH,0,0,1,7,7,11
POTEH-AS1,0,0,0,0,2,0
RNU6-816P,0,0,0,0,0,0
LA16c-3G11.7,0,0,0,2,1,2
LA16c-83F12.6,0,0,0,3,1,0
GRAMD4P2,0,0,0,0,1,0
DUXAP8,10,4,9,250,199,213
LL22NC03-N64E9.1,0,1,0,16,9,19
BMS1P22,0,1,3,25,24,24
LL22NC03-N14H11.1,4,2,0,98,38,49
NBEAP3,0,0,0,5,3,0
LA16c-60H5.7,0,0,0,11,6,6
LA16c-4G1.4,0,0,0,0,0,0
LA16c-4G1.3,0,0,0,0,3,0
AC092854.1,0,0,0,0,0,0
ABCD1P4,0,0,0,0,2,0
LA16c-17H1.3,0,0,0,0,0,0
PABPC1P9,0,0,0,0,1,0
SLC9B1P4,0,0,0,0,1,0
ACTR3BP2,0,0,0,0,0,0
CHEK2P4,0,0,0,0,0,0
KB-67B5.17,0,0,0,0,0,0
KB-67B5.12,0,0,0,0,0,0
KCNMB3P1,0,0,0,2,1,1
CCT8L2,0,0,0,1,2,0
FABP5P11,0,0,0,0,0,0
AP000547.1,0,0,0,0,1,0
TPTEP1,19,23,20,141,94,122
KB-7G2.9,0,0,1,3,4,2
SLC25A15P5,0,0,0,2,2,4
PARP4P3,0,0,0,1,1,2
ANKRD62P1-PARP4P3,0,1,0,3,3,0
ANKRD62P1,0,0,0,2,0,1
KB-7G2.8,0,0,0,0,0,0
VWFP1,2,2,4,1,2,0
AC005301.8,0,0,0,1,0,0
XKR3,0,0,0,3,4,8
HSFY1P1,0,0,0,0,0,0
GPM6BP3,0,0,0,0,0,0
AC007064.22,0,0,0,0,0,0
ZNF402P,0,0,0,1,1,0
AC007064.24,1,3,2,3,0,1
MTND1P17,0,0,0,0,0,0
AC007064.25,0,0,0,0,0,0
AC006548.19,0,0,0,0,0,0
IGKV1OR22-5,0,0,0,0,0,0
IGKV2OR22-4,0,0,0,0,0,0
IGKV2OR22-3,0,0,0,0,0,0
IGKV3OR22-2,0,0,0,0,1,0
IGKV1OR22-1,0,0,0,0,0,0
AC006548.28,1,1,1,4,40,4
GAB4,0,0,0,0,0,0
AC006548.26,0,0,0,0,0,0
VN1R9P,0,0,0,0,0,0
CECR7,22,27,32,31,27,24
AC006946.16,7,6,4,3,3,4
AC006946.17,0,2,2,0,3,2
IL17RA,58,65,58,95,71,81
AC006946.12,0,1,1,1,1,1
CECR6,26,45,32,9,6,4
AC006946.15,3,3,1,0,2,0
CECR5,30,44,33,127,82,139
CECR5-AS1,0,2,2,1,2,1
CECR1,30,28,32,39,35,22
AC005300.5,0,0,0,1,0,0
FAM32B,0,1,0,0,0,0
CECR3,1,0,1,0,1,0
CECR9,0,0,0,0,0,0
RN7SL843P,0,0,0,0,0,0
CECR2,115,88,119,119,81,98
AC004019.10,1,5,1,0,1,1
CLCP1,1,2,0,0,0,0
DNAJA1P6,0,0,0,0,0,0
SLC25A18,100,111,74,6,8,7
AC004019.13,1,2,1,1,2,3
ATP6V1E1,392,454,391,244,181,203
BCL2L13,212,284,264,244,166,200
BID,70,85,84,112,76,109
MIR3198-1,0,0,0,0,0,1
LINC00528,1,0,0,1,2,4
MICAL3,339,429,425,211,145,193
XXbac-B461K10.4,6,6,9,1,2,1
MIR648,0,0,6,0,0,0
XXbac-B476C20.14,2,7,2,2,1,1
XXbac-B476C20.13,2,9,4,1,2,3
RHEBP3,1,2,3,0,0,1
FLJ41941,0,0,0,0,2,0
XXbac-B476C20.9,3,5,4,2,3,5
PEX26,135,174,137,205,135,180
XXbac-B476C20.11,0,0,1,3,0,0
XXbac-B476C20.10,0,0,0,0,0,0
ARL2BPP10,0,0,0,0,0,0
TUBA8,13,13,15,2,2,1
AC008079.10,55,68,53,14,14,8
USP18,3,6,2,28,14,21
AC008079.9,0,0,0,0,0,0
GGTLC5P,0,0,0,0,0,0
AC011718.2,1,0,0,0,0,0
AC011718.3,0,0,0,0,0,0
PPP1R26P3,0,0,0,0,0,0
XXbac-B33L19.6,0,0,0,0,0,0
FAM230A,0,0,0,2,4,0
XXbac-B33L19.12,0,0,0,0,0,0
GGTLC3,0,0,0,0,0,0
Metazoa_SRP,0,0,1,0,2,2
XXbac-B33L19.15,0,0,0,0,0,0
TMEM191B,6,1,3,0,2,2
PI4KAP1,18,11,36,65,33,34
SCARNA17,0,0,0,0,0,0
RN7SKP131,0,0,0,0,0,0
RIMBP3,1,2,0,2,3,6
XXbac-B33L19.10,0,0,0,0,0,0
CA15P2,0,0,0,0,0,0
PPP1R26P2,0,0,0,0,0,0
PPP1R26P4,0,0,0,0,0,0
AC008132.15,0,0,0,0,1,0
GGT3P,0,0,0,0,0,1
AC008132.14,0,0,0,0,0,0
E2F6P1,0,0,0,3,0,0
AC008132.13,0,0,1,1,3,1
BCRP7,0,0,0,0,0,0
AC008103.3,0,0,0,0,0,0
AC008103.4,0,0,0,0,0,0
DGCR6,73,91,76,24,13,18
PRODH,102,127,123,44,34,39
AC007326.1,0,0,0,3,1,3
AC007326.10,0,1,0,0,3,0
DGCR5,196,239,201,8,9,8
AC007326.9,11,9,12,1,0,0
DGCR9,30,30,27,5,2,4
AC000095.9,0,0,0,0,0,0
AC000095.11,9,5,9,0,0,0
CA15P1,4,3,5,1,2,1
DGCR2,304,354,314,308,178,274
Y_RNA,4,2,2,5,2,3
DGCR11,4,10,13,19,6,14
AC004461.4,1,1,0,0,2,0
DGCR12,2,1,7,2,2,4
AC004471.9,5,4,5,4,3,5
AC004471.10,1,1,0,0,2,0
TSSK1A,0,0,0,0,2,1
DGCR14,46,50,37,77,39,64
TSSK2,0,0,0,0,0,0
GSC2,0,0,0,0,0,0
LINC01311,3,1,3,11,8,11
SLC25A1,32,50,41,226,138,216
CLTCL1,33,40,36,102,71,81
AC000081.2,0,0,1,0,1,0
SNORA15,0,0,0,0,1,0
KRT18P62,1,1,0,1,0,1
HIRA,20,15,10,59,27,39
C22orf39,64,74,76,100,88,90
RN7SL168P,0,1,0,4,2,1
MRPL40,29,36,31,113,70,91
AC000068.5,5,4,1,6,8,5
UFD1L,38,58,53,228,148,168
AC000068.9,0,0,0,0,0,0
AC000068.10,0,0,0,0,2,4
CDC45,2,1,0,224,154,175
CLDN5,60,86,57,2,2,0
LINC00895,0,0,0,0,0,0
AC000077.2,0,0,0,0,1,0
AC000067.1,0,0,0,0,0,0
SEPT5,481,635,547,145,97,110
GP1BB,0,0,0,0,0,0
TBX1,1,0,2,7,9,7
GNB1L,14,17,8,39,36,30
AC000089.3,1,0,0,2,1,1
C22orf29,83,123,95,211,149,168
TXNRD2,55,52,41,84,68,74
AC000078.5,2,9,2,8,4,4
COMT,96,113,87,205,111,166
MIR4761,0,0,1,1,0,0
ARVCF,143,157,135,86,35,52
TANGO2,36,47,38,68,48,43
MIR185,0,0,0,0,0,0
AC006547.13,7,17,15,13,9,16
AC006547.15,0,0,0,0,0,0
DGCR8,80,96,67,238,162,203
MIR3618,0,0,0,0,0,0
MIR1306,0,0,0,0,0,0
AC006547.8,0,0,0,0,0,0
TRMT2A,42,62,49,164,82,128
MIR6816,0,0,0,0,0,0
RANBP1,52,74,70,593,399,475
SNORA77,0,0,0,0,0,0
ZDHHC8,95,97,91,114,84,82
AC006547.14,6,5,4,3,3,2
XXbac-B444P24.8,0,1,3,0,0,0
LINC00896,0,3,0,7,4,7
RTN4R,74,93,84,19,11,11
MIR1286,1,3,0,0,0,0
XXbac-B444P24.10,1,1,0,1,4,0
DGCR6L,47,42,38,96,46,86
XXbac-B444P24.13,1,2,3,2,1,4
XXbac-B444P24.14,3,3,3,3,0,2
XXbac-B33L19.4,0,0,0,1,0,0
USP41,0,0,0,3,2,0
ZNF74,38,40,41,110,79,90
RNU6-225P,0,0,0,0,0,0
SCARF2,11,7,2,34,23,38
XXbac-B562F10.12,0,0,0,0,0,0
KLHL22,63,80,83,81,52,65
XXbac-B562F10.11,4,8,13,10,5,3
RNY1P9,0,0,0,0,0,0
RN7SL812P,0,0,3,1,0,3
KRT18P5,4,3,1,4,2,8
AC007731.1,0,0,0,0,0,0
MED15,94,110,87,258,156,210
AC007050.17,0,0,0,3,2,2
AC007050.18,0,0,1,0,0,0
SMPD4P1,2,4,2,1,3,1
IGLL4P,0,0,0,0,1,0
SLC9A3P2,0,0,0,0,0,2
AC007050.1,0,0,0,0,0,0
ABHD17AP4,0,1,3,0,2,3
POM121L4P,0,0,0,0,1,0
BCRP5,0,0,0,0,0,0
TMEM191A,5,7,5,0,4,6
PI4KA,1102,1211,1079,433,343,391
SERPIND1,13,11,8,158,109,124
SNAP29,33,48,44,114,82,76
